paper_id,arxiv_id,title,source_url,pdf_url,pdf_sha256,metadata_title_match,full_text_integrity,visual_evidence,status
P001,2606.13790,Stochastic Path Sampler For Lattice Field Theory,https://arxiv.org/abs/2606.13790,https://arxiv.org/pdf/2606.13790v1,cc1be38bb8a641a8118606fda7b5d375170720e3e88a9f0c35562f335f2bda17,PASS,PASS,screenshots/2606.13790_p1_identity.png; screenshots/2606.13790_p30_bibliography.png; screenshots/2606.13790_p31_bibliography.png; screenshots/2606.13790_p32_bibliography.png,VERIFIED_C3_WITH_KEY_VISUAL
P002,1904.12072,Flow-based generative models for Markov chain Monte Carlo in lattice field theory,https://arxiv.org/abs/1904.12072,https://arxiv.org/pdf/1904.12072v3,61749019a775a8141842ce23b4dce5678a3f712f311dfcc379747b943ccbe07d,PASS,PASS,not_selected_by_key_only_policy,VERIFIED_C3
P003,2003.06413,Equivariant flow-based sampling for lattice gauge theory,https://arxiv.org/abs/2003.06413,https://arxiv.org/pdf/2003.06413v1,6f5d0bb1effda44b3fcb55d40ba679495428944a8988c71c61e7ccf19258d1f4,PASS,PASS,not_selected_by_key_only_policy,VERIFIED_C3
P004,2101.08176,Introduction to Normalizing Flows for Lattice Field Theory,https://arxiv.org/abs/2101.08176,https://arxiv.org/pdf/2101.08176v3,1b0caf63db00d605563de7cf56b5905c2572ee02dbdca7aaaf187231fa1a7822,PASS,PASS,not_selected_by_key_only_policy,VERIFIED_C3
P005,2111.15141,Path Integral Sampler: a stochastic control approach for sampling,https://arxiv.org/abs/2111.15141,https://arxiv.org/pdf/2111.15141v2,e0bb88baf8cf19b54d29195a6765aaf113de42fa7b5aab2d11658fd959175ac8,PASS,PASS,screenshots/2111.15141_p1_path_integral_sampler.png,VERIFIED_C3_WITH_KEY_VISUAL
P006,2201.08862,Stochastic normalizing flows as non-equilibrium transformations,https://arxiv.org/abs/2201.08862,https://arxiv.org/pdf/2201.08862v3,798759d54c5256ac75eb188fac679c96d0af51979894b85d0c72c7db03817858,PASS,PASS,not_selected_by_key_only_policy,VERIFIED_C3
P007,2201.13117,Continual Repeated Annealed Flow Transport Monte Carlo,https://arxiv.org/abs/2201.13117,https://arxiv.org/pdf/2201.13117v3,f989f22f14f77017c8e8ca487b21b5f94e1a2775c47827dc8ff50d05ea53cdf1,PASS,PASS,not_selected_by_key_only_policy,VERIFIED_C3
P008,2210.03139,Stochastic normalizing flows for lattice field theory,https://arxiv.org/abs/2210.03139,https://arxiv.org/pdf/2210.03139v1,6e55973206bb8030e21bdd951bc005c64dbabf2698a4491f1d21e5ca29909cc8,PASS,PASS,not_selected_by_key_only_policy,VERIFIED_C3
P009,2211.01364,An optimal control perspective on diffusion-based generative modeling,https://arxiv.org/abs/2211.01364,https://arxiv.org/pdf/2211.01364v3,acc14bcda73d11c0a46913696e81622d5add9b147b042754a6b5c1486949e5ba,PASS,PASS,not_selected_by_key_only_policy,VERIFIED_C3
P010,2302.13834,Denoising Diffusion Samplers,https://arxiv.org/abs/2302.13834,https://arxiv.org/pdf/2302.13834v2,a52b6fd8d6c19873d22a115d6eb050e78da70464dc2e25e4464cf8c3b0063321,PASS,PASS,not_selected_by_key_only_policy,VERIFIED_C3
P011,2302.14082,Detecting and Mitigating Mode-Collapse for Flow-based Sampling of Lattice Field Theories,https://arxiv.org/abs/2302.14082,https://arxiv.org/pdf/2302.14082v2,f9407626519a0d4eeb4237e35bb4e20d9e4c5495233ef047f3becac439ef4ec6,PASS,PASS,not_selected_by_key_only_policy,VERIFIED_C3
P012,2309.17082,Diffusion Models as Stochastic Quantization in Lattice Field Theory,https://arxiv.org/abs/2309.17082,https://arxiv.org/pdf/2309.17082v2,3c6e52dcbf2a73118d59cb87490bb843ddbebce1e46c73b93f68caa144f242bc,PASS,PASS,screenshots/2309.17082_p1_diffusion.png,VERIFIED_C3_WITH_KEY_VISUAL
P013,2310.11979,Out-of-equilibrium simulations to fight topological freezing,https://arxiv.org/abs/2310.11979,https://arxiv.org/pdf/2310.11979v1,e6025298d818d5071c1cdcd1c9c5761f963ab5e230208c31de55963c6fcdd90a,PASS,PASS,not_selected_by_key_only_policy,VERIFIED_C3
P014,2311.03578,Generative Diffusion Models for Lattice Field Theory,https://arxiv.org/abs/2311.03578,https://arxiv.org/pdf/2311.03578v1,bf6e772c236bcaec0901f01be734f24914bf66d9380cd2ed7ddf9c3635c4b3df,PASS,PASS,not_selected_by_key_only_policy,VERIFIED_C3
P015,2402.06561,Mitigating topological freezing using out-of-equilibrium simulations,https://arxiv.org/abs/2402.06561,https://arxiv.org/pdf/2402.06561v2,f7441e1c1daf7a6f053e027ed49095e5c2df916600070b7cbe0b26877b3e7816,PASS,PASS,not_selected_by_key_only_policy,VERIFIED_C3
P016,2404.09723,Minimal Autocorrelation in Hybrid Monte Carlo simulations using Exact Fourier Acceleration,https://arxiv.org/abs/2404.09723,https://arxiv.org/pdf/2404.09723v3,cbce966d82bba76c90c7963fa18b8fa2b6b74b192bc4e043fb8bcc8ae5968eac,PASS,PASS,not_selected_by_key_only_policy,VERIFIED_C3
P017,2412.00200,Scaling of Stochastic Normalizing Flows in $\mathrm{SU}(3)$ lattice gauge theory,https://arxiv.org/abs/2412.00200,https://arxiv.org/pdf/2412.00200v3,6c672c0a654ced72f71c7adaf195cb0e6218460d6c0a3cfa687b45c9eae79730,PASS,PASS,not_selected_by_key_only_policy,VERIFIED_C3
P018,2512.19575,Variational Autoregressive Networks Applied to $φ^4$ Field Theory Systems,https://arxiv.org/abs/2512.19575,https://arxiv.org/pdf/2512.19575v1,7572feab34168a4a32c01d6d2f9f00b5dd7bac62603476104e4d488363da9b96,PASS,PASS,not_selected_by_key_only_policy,VERIFIED_C3
