arxiv_id,title,selection_reason,status,pages,bytes,sha256,pdf_path,error
2606.13790,Stochastic Path Sampler For Lattice Field Theory,root,verified_pdf,33,2263775,cc1be38bb8a641a8118606fda7b5d375170720e3e88a9f0c35562f335f2bda17,sources/pdfs/2606.13790.pdf,
2111.15141,Path Integral Sampler: a stochastic control approach for sampling,method_quota:path_space,verified_pdf,26,2713763,e0bb88baf8cf19b54d29195a6765aaf113de42fa7b5aab2d11658fd959175ac8,sources/pdfs/2111.15141.pdf,
2302.13834,Denoising Diffusion Samplers,method_quota:path_space,verified_pdf,30,4179526,a52b6fd8d6c19873d22a115d6eb050e78da70464dc2e25e4464cf8c3b0063321,sources/pdfs/2302.13834.pdf,
2307.01050,Transport meets Variational Inference: Controlled Monte Carlo Diffusions,method_quota:path_space,verified_pdf,43,3598216,53ccf9eacc9476d81b885750959fb9792bc68f37d1f468c2d8d3f0013645f1a1,sources/pdfs/2307.01050.pdf,
2410.02711,NETS: A Non-Equilibrium Transport Sampler,method_quota:path_space,verified_pdf,31,2113233,3f115239f2ca5de2d7c560e21ae84e33f20a0979e515c875fb6ceb3406af3a55,sources/pdfs/2410.02711.pdf,
2409.15937,Numerical determination of the width and shape of the effective string using Stochastic Normalizing Flows,method_quota:stochastic_flow,verified_pdf,29,916261,1678a1c65e7728818bd4a3b732b61458efc23b3f7db868c774a7c1a03ccbd329,sources/pdfs/2409.15937.pdf,
2412.19109,Stochastic normalizing flows for Effective String Theory,method_quota:stochastic_flow,verified_pdf,10,514936,dc3b3f846eb7f13f9b9a50021f993ab6bc34c8755a9fe3cdb5f9a3dcf7a41536,sources/pdfs/2412.19109.pdf,
2210.03139,Stochastic normalizing flows for lattice field theory,method_quota:stochastic_flow,verified_pdf,9,622586,6e55973206bb8030e21bdd951bc005c64dbabf2698a4491f1d21e5ca29909cc8,sources/pdfs/2210.03139.pdf,
2201.08862,Stochastic normalizing flows as non-equilibrium transformations,method_quota:flow,verified_pdf,32,899741,798759d54c5256ac75eb188fac679c96d0af51979894b85d0c72c7db03817858,sources/pdfs/2201.08862.pdf,
2502.05504,Physics-Conditioned Diffusion Models for Lattice Gauge Theory,method_quota:diffusion,verified_pdf,28,3038787,0b9548d039926d29e6e89f60fa806d22681f4079c78936f901fdb5aca12b87fa,sources/pdfs/2502.05504.pdf,
2311.03578,Generative Diffusion Models for Lattice Field Theory,method_quota:diffusion,verified_pdf,6,2275916,bf6e772c236bcaec0901f01be734f24914bf66d9380cd2ed7ddf9c3635c4b3df,sources/pdfs/2311.03578.pdf,
2605.06134,Diffusion model for SU(N) gauge theories,method_quota:diffusion,verified_pdf,23,2425612,7b2695ebaa774b7eeb7cada771068461248361495975bd440ff5a2ceee97a4de,sources/pdfs/2605.06134.pdf,
2211.01364,An optimal control perspective on diffusion-based generative modeling,method_quota:diffusion,verified_pdf,42,4965779,acc14bcda73d11c0a46913696e81622d5add9b147b042754a6b5c1486949e5ba,sources/pdfs/2211.01364.pdf,
2605.11199,Operator Spectroscopy of Trained Lattice Samplers,method_quota:gauge,verified_pdf,26,1099526,5cd87c3a8a6ed6c2a6d8bc7a3e414e0c6fc92f3d42ac6b122270c2d643e49a96,sources/pdfs/2605.11199.pdf,
2106.05934,Flow-based sampling for fermionic lattice field theories,method_quota:fermion,verified_pdf,25,1323300,ea75b10a32baf6510c3b1d3696759c6e1c4be346d1e257e5b43282ca64c909ac,sources/pdfs/2106.05934.pdf,
2211.07541,Aspects of scaling and scalability for flow-based sampling of lattice QCD,method_quota:fermion,verified_pdf,22,1052874,7852044405efbe657ad5dece5b84c3d50ede2214c051159b84787eddd4c40542,sources/pdfs/2211.07541.pdf,
2409.18861,Sampling SU(3) pure gauge theory with Stochastic Normalizing Flows,method_quota:scaling,verified_pdf,10,639704,662102a173db6d419f701a1247050e5d023acc0f0182a1d7a5c0719b04a82d5f,sources/pdfs/2409.18861.pdf,
2510.21330,SCORENF: Score-based Normalizing Flows for Sampling Unnormalized distributions,facet_quota:correction,verified_pdf,5,411656,7ac19accf5bdd3497d3ee8af910518a0bec1194629d9c18368896e2956dd8689,sources/pdfs/2510.21330.pdf,
2607.08505,Diffusion Models for Sampling Near Criticality in Lattice Field Theories,facet_quota:evaluation,verified_pdf,39,4976729,29e9de724ae484a7998d3044fc9e34cb8edb16e812918f71c2d57359e4d73572,sources/pdfs/2607.08505.pdf,
2604.10209,Scalable Generative Sampling and Multilevel Estimation for Lattice Field Theories Near Criticality,facet_quota:evaluation,verified_pdf,15,1246772,f63310ecd3fc85390956cdbd6dac9f8676cfbc5c7060411e2fb24b9d76f7dfe1,sources/pdfs/2604.10209.pdf,
2512.19575,Variational Autoregressive Networks Applied to phi4 Field Theory Systems,global_score_fill,verified_pdf,24,1505787,7572feab34168a4a32c01d6d2f9f00b5dd7bac62603476104e4d488363da9b96,sources/pdfs/2512.19575.pdf,
2309.17082,Diffusion models as stochastic quantization in lattice field theory,global_score_fill,verified_pdf,31,2486741,3c6e52dcbf2a73118d59cb87490bb843ddbebce1e46c73b93f68caa144f242bc,sources/pdfs/2309.17082.pdf,
1904.12072,Flow-based generative models for Markov chain Monte Carlo in lattice field theory,global_score_fill,verified_pdf,13,884944,61749019a775a8141842ce23b4dce5678a3f712f311dfcc379747b943ccbe07d,sources/pdfs/1904.12072.pdf,
2003.06413,Equivariant flow-based sampling for lattice gauge theory,global_score_fill,verified_pdf,6,1017965,6f5d0bb1effda44b3fcb55d40ba679495428944a8988c71c61e7ccf19258d1f4,sources/pdfs/2003.06413.pdf,
2107.00734,Flow-based sampling for multimodal and extended-mode distributions in lattice field theory,global_score_fill,verified_pdf,43,2697648,55998cffeab28dbcff6ac5448733fed20458dee16301075dfbecdf81914f8d69,sources/pdfs/2107.00734.pdf,
2604.12416,Machine learning for four-dimensional SU(3) lattice gauge theories,global_score_fill,verified_pdf,18,5148305,158c4d0098c9f26e872a06174056b0e50f947201238953bd71e5fd94416a9004,sources/pdfs/2604.12416.pdf,
2208.03832,Sampling QCD field configurations with gauge-equivariant flow models,global_score_fill,verified_pdf,14,716303,f898d7877b6b74d39596791b907d71f76d1cda17338d7892b092113889203e1f,sources/pdfs/2208.03832.pdf,
2601.20708,A scalable flow-based approach to mitigate topological freezing,global_score_fill,verified_pdf,10,760706,d9ef54027185abea0d336993a8860c2c9c183eff1f4deb7ca54c6ab32ee5e821,sources/pdfs/2601.20708.pdf,
2510.26081,Group-Equivariant Diffusion Models for Lattice Field Theory,global_score_fill,verified_pdf,45,4435646,c315ee3cd880525f23586972af6fc9b50417a6a4799fc956b65e2a6f1c1acc6d,sources/pdfs/2510.26081.pdf,
2306.00581,Sampling U(1) gauge theory using a re-trainable conditional flow-based model,global_score_fill,verified_pdf,12,599580,2db1c3f931a2b47532bcb140737e37c47f750a36a0a61cfce7ab531b59e74a3b,sources/pdfs/2306.00581.pdf,
2605.12597,The critical slowing down in diffusion models,round2_gap_closure,verified_pdf,31,6548734,e8d9fd459e637d0a91ff900b4ba79b3efee4fd12011e27774e3daeaf4bad73f5,sources/pdfs/2605.12597.pdf,
